8,9;46,58;;
20,10;;;
4,12,11;22,23;;
3,13;;;
15,16;;;
29,7;;;
6,17;42;;
1,18,19;;;
1,19,20;;;
2,11,21,34;;;
3,10,22;;;
3,23;;;
4,14,23,24;23,14,52;46,67,89;
15,25;13,15,52;;
5,14,26,28,16;14,29,41;;
5,15,28,29;;;
7,29,30,42;;;
8,31,43;;8,9,32;;;
8,9,32;;;
2,9,33;;;
10,33;;;
11,23,34,35;3,23,34,65;;
12,13,22,37;3,13,22,67;;
13,37,38;;;
13,38,39;;;
15,27,39;;;
26,28,40;;;
15,16,27,41;;;
6,16,17,41,42;15,41,42,55;;
17,42;;;
18,43,44;;;
19,33,44,45;;;
20,21,32,46;;;
10,22,47,48;22,46,63;;
22,36,48,65;;;
35,37,59;;;
23,24,36,50;;;
24,25,50,51;;;
25,26,51,52;;;
27,41,52,53;;;
28,29,40,54;15,29,52,87;;
29,30,56,72;7,29,72;;
18,31,57;;;
31,32,58;;;
32,46,58,59,60;;;
33,45,47,61;1,34,58,78;1,74,79,13;
34,46,62;;;
34,35,62,63;;;
36,50,66;;;
37,38,49;;;
38,39,52,67,68;;;
39,40,51,69;13,41,67,86;;
40,54,69;;;
41,53,55,70;;;
54,71;29,89;;
42,91;;;
43,58,73;;;
44,45,57,59,74;1,46,74,77;;
45,58,75,76;;;
45,61,76;;;
46,60,62,76,78;;;
47,48,61,79;;;
48,64,79,80;34,65,79,100;;
64,65,81;;;
35,64,66,82;22,63,67,82;;
49,65,67,82;;;
51,66,68,84;23,52,65,82,102;13,79,89,111;
51,67,69,85;;;
52,53,68,86;;;
54,71,87;;;
55,70,72,89;;;
71,42,90,91;42,105,107;;
57,74,92;;;
58,73,75,92;58,94;46;
58,59,74,94;;;
59,60,61,77;;;
76,78,95,96;58,94,78;;
61,77,79,97;46,77,79,79;;
62,63,78,98;78,63;46,67,93,111;
63,99,100;;;
64,82,100;;;
65,66,81,101;65,67,100,140;;
101,102;;;
67,85;;;
68,84,103;;;
69,87,103,104;52,87,102,116;;
70,88;41,86,105;;
87,89,117;;;
71,88,105;55,105;13,67,128,140;
72,91,105;72,105;;
56,72,90,105,107;;;
73,74,93;;;
92,94;94;79;
75,93,95;74,77,93;;
77,94,122;;;
77,97,109;;;
78,96,98,109;;;
79,97,99,110;;;
80,98,110,112;;;
80,81,112,113;63,82,111;;
82,83,100,114;;;
83,103,115;67,86,127;;
85,86,102;;;
86,116;;;
89,90,91,106,108;72,87,89,107,108;;
105,107;;;
91,106,119;72,105,161;;
105,117,119;105,116,135;;115
96,97,110,124;;;
98,99,109,111;;;
110,112,124;100,124;67,79,153,163;
99,100,111,125;;;
100,114,125;;;
101,113,115,126,131,132;;;
102,114,126,129;;;108,157
104,117,118,127;86,108,127,142;;
88,108,116,129;;;
116,129,134,142;;;
107,108,136;;;
121,144;;;
120,122,145;;;
121,123,146;123,144;;
122,124,137,148,149;122,124,144,165;;
109,111,123,138;111,123,153;;
112,113,131;;;
114,115,127,140;;;
115,116,126,133,134;102,116,133;;
142,143,160,172,188;135,142,161,187,199;89,140,185;
117,118,135,142,143;;;
124,131,139;;;
114,125,130;;;
114,140;;;
127,140,141;127,140,157;;
118,127,141,142;;;
129,136,161,163;108,128,161;;
119,135,162;;;
123,147;;;
125,150,152;;;
130,140,153,154;;;
126,132,133,139,154,156;82,133,154,156;153,128;
133,134,142,158;;;
118,128,129,134,141,143,158;116,128,157;;
128,129,135,142,160;;;
120,145,177;122,123,163;;
121,144,146;;;
122,145,147,163;;;
137,146,164;;;
123,149,164;;;
123,148,150,165;;;
138,149,151;;;
150,152,165,166;;;
138,151,153;;;
139,152,154,166,167;124,154,180,184;140,163,185;
139,140,153,155;153,140,156;;
154,156,167,168;;;
140,155,157,169;140,154,157,184;;
156,158,170;133,142,156,185;;115,194
141,142,157,159;;;
158,170,172,186,198;;;
128,143,161,173;;;
135,160,174;107,128,135,199;;
136,175;;;
146;144,176,191;111,153;
147,148,178,179;;;
149,151,179,180;123,191,180;;
151,153,181,183;;;
153,155,168,183;;;
155,167,184;;;
156,184;;;
157,159,185;;;
173,175,199;;;
128,159,187;;;
160,171,174,188;;;
161,173,175;;;
162,171,174;;;
177,189;163,190;;
144,163,176;;;
164,189,191;;;
164,165,191;;;
165,181,193;153,165,190;;
166,180,182,193;;;
181,183,195;;;
166,167,182,196;;;
168,169,185,196,197;153,156,180,185;;
170,184,186;157,184,187;153,128;
159,185,198;;;
172,188,198;128,185;;
128,173,187,199;;;
176,178,190;;;
189,191,192;176,191,180;;
178,179,190,192;163,165,190;;
190,191,194;;;
180,181,194;;;
193,192,195;;;157
194,196,197;;;
183,184,195,197;;;
184,195,196;;;
159,186,187,199;;;
171,188,198;128,141;;
